Assets,Bank Name,Address,City,State,ZIP,URL,County,Parent Holding Company,Region
"$170,458,000",Community Bank of the Bay,180 Grand Avenue,Oakland,California,94612,www.communitybankbay.com,Alameda, ,"San Francisco-Oakland-Hayward, CA"
"$163,020,000",Pacific Commerce Bank,"420 East 3rd Street, Suite 100",Los Angeles,California,90013,www.pacificcommercebank.com,Los Angeles, ,"Los Angeles-Long Beach-Anaheim, CA"
"$160,089,000",Lighthouse Bank,111 Mission Street,Santa Cruz,California,95060,http://www.lighthousebank.net,Santa Cruz, ,"Santa Cruz-Watsonville, CA"
"$159,907,000",Uniti Bank,"6301 Beach Boulevard, Suite 100",Buena Park,California,90621,http://www.unitibank.com,Orange,Uniti Financial Corporation,"Los Angeles-Long Beach-Anaheim, CA"
"$157,946,000",The Bank of Santa Barbara,12 East Figueroa Street,Santa Barbara,California,93101,http://WWW.THEBANKOFSANTABARBARA.COM,Santa Barbara, ,"Santa Maria-Santa Barbara, CA"
"$157,884,000",ProAmerica Bank,888 W 6th,Los Angeles,California,90017,http://www.PROAMERICABank.com,Los Angeles, ,"Los Angeles-Long Beach-Anaheim, CA"
"$156,899,000",Capital Bank,"31351 Rancho Viejo Road, Suite 101",San Juan Capistrano,California,92675,www.mycapitalbank.com,Orange, ,"Los Angeles-Long Beach-Anaheim, CA"
"$155,498,000",Community Business Bank,710 Riverpointe Ct,West Sacramento,California,95605,http://www.communitybizbank.com,Yolo, ,"Sacramento-Roseville-Arden-Arcade, CA"
"$154,798,000",Founders Community Bank,237 Higuera Street,San Luis Obispo,California,93401,http://www.founderscommunitybank.com,San Luis Obispo,Founders Bancorp,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
"$154,264,000",American Continental Bank,"17700 Castleton Street, Suite 100",City Of Industry,California,91748,http://www.americancontinentalbank.com,Los Angeles, ,"Los Angeles-Long Beach-Anaheim, CA"
"$147,636,000",First National Bank of Southern California,3727 Arlington Avenue,Riverside,California,92506,www.fnbsocal.com,Riverside,"Duke Financial Group, Inc.","Riverside-San Bernardino-Ontario, CA"
"$146,941,000",River Valley Community Bank,1629 Colusa Highway,Yuba City,California,95993,http://rivervalleycommunitybank.com,Sutter, ,"Yuba City, CA"
"$146,369,000",Ojai Community Bank,402 West Ojai Avenue,Ojai,California,93023,http://www.ojaicommunitybank.com,Ventura, ,"Oxnard-Thousand Oaks-Ventura, CA"
"$144,227,000","South County Bank, National Association",22342 Avenida Empresa,Rancho Santa Margarita,California,92688,http://www.southcountybank.com,Orange,Calwest Bancorp,"Los Angeles-Long Beach-Anaheim, CA"
"$143,587,000",Valley Community Bank,465 Main Street,Pleasanton,California,94566,http://www.vcb-ca.com,Alameda, ,"San Francisco-Oakland-Hayward, CA"
"$143,531,000","Bank of Napa, N.A.","2007 Redwood Road, Suite 101",Napa,California,94558,www.thebankofnapa.com,Napa, ,"Napa, CA"
"$139,799,000",Northern California National Bank,"1717 Mangrove Avenue, Suite 100",Chico,California,95926,http://www.norcalbank.com,Butte, ,"Chico, CA"
"$137,522,000","International City Bank, National Association",249 E Ocean Boulevard,Long Beach,California,90802,http://www.icb.biz,Los Angeles,"Pedcor Capital, Llc","Los Angeles-Long Beach-Anaheim, CA"
"$137,162,000",First Mountain Bank,40865 Big Bear Boulevard,Big Bear Lake,California,92315,http://www.firstmountainbank.com,San Bernardino, ,"Riverside-San Bernardino-Ontario, CA"
"$136,650,000",Golden Valley Bank,"190 Cohasset Road, Suite 170",Chico,California,95926,WWW.GOLDENVALLEYBANK.COM,Butte, ,"Chico, CA"
"$136,332,000",Bank of San Francisco,"575 Market Street, Suite 900",San Francisco,California,94105,http://bankofsf.com,San Francisco, ,"San Francisco-Oakland-Hayward, CA"
"$135,883,000","Golden Pacific Bank, National Association","519 ""d"" Street",Marysville,California,95901,www.goldenpacificbank.com,Yuba,"Golden Pacific Bancorp, Inc.","Yuba City, CA"
"$134,392,000",Folsom Lake Bank,"905 Sutter Street, Suite 100",Folsom,California,95630,http://www.folsomlakebank.com,Sacramento, ,"Sacramento-Roseville-Arden-Arcade, CA"
"$133,802,000",Premier Business Bank,"700 South Flower Street, Suite 2000",Los Angeles,California,90017,http://www.ibankpremier.com,Los Angeles, ,"Los Angeles-Long Beach-Anaheim, CA"
"$133,758,000","Santa Clara Valley Bank, National Association",901 East Main Street,Santa Paula,California,93060, ,Ventura, ,"Oxnard-Thousand Oaks-Ventura, CA"
